title,sub-title,ref,new_price,reserved_status,geo
DeRosa,DIAMOND 13.25 CT RING (GIA),R1255630B,22500,Зарезервировано,
RalfDiamonds,DIAMOND EARRINGS 17.36 CT,RDE190624,28000,,Москва
Graff,СЕРЬГИ С БРИЛЛИАНТАМИ 3.00-3.01 CT FY/VVS2-VS1 (GIA),3.00-3.01 CT FY/VVS2-VS1,Цена по запросу,,Москва
Tiffany & Co,Cluster Tennis Bracelet,60149142,56000,,Москва
No name,DIAMOND STUDS 3.01 - 3.01 CT I/SI (GIA),NN3.01-3.01CTI/SI,54800,,Москва
No name,DIAMOND STUDS 1.50 - 1.53 CT G/VS2 EXEXEX (GIA),NN1.50-1.53CTG/VS2,18900,,Москва
No name,HEART DIAMOND 1.00 CT F/VS1 PENDANT (GIA),822NN1.00F/VS1,4600,,Москва
No name,С БРИЛЛИАНТАМИ 2.48 СТ,Q9W0E,2800,,Москва
No name,ROUND DIAMOND 1.60 CT F/VS1 PENDANT (GIA),273NN1.60CTF/VS1,13700,,Москва
No name,ROUND DIAMOND 1.01 CT F/VS1 PENDANT (GIA),025NN1.01CTF/VS1,6000,,Москва
No name,PEAR DIAMOND 1.50 CT F/VS1 PENDANT (GIA),NNP1.50F/VS1812,11500,,Москва
Graff,PAVÉ BUTTERFLY DIAMOND PETITE EAR CLIMBERS,RGE1818,4450,,Москва
Graff,Wild Flower Petite Pavé Diamond Bracelet,RGB586,2500,,Москва
Graff,Mini Butterfly Silhouette Diamond Earrings,RGE1810,4600,,Москва
Graff,WILD FLOWER PAVÉ DIAMOND PENDANT,RGP773,5100,,Москва
Bvlgari,BVLGARI SERPENTI BRACELET (SIZE M),358433-M,Цена по запросу,,Москва
Cartier,"LOVE BRACELET, SMALL MODEL, PINK GOLD, DIAMONDS (SIZE 18)",N6710718,29500,,Москва
Messika,MOVE UNO RING (SIZE 51),04705-WG-51,1450,,Москва
Ювелирные украшения,БРАСЛЕТ С БРИЛЛИАНТАМИ И ТУРМАЛИНАМИ,92.31-18br,14000,,Москва
Chopard,КОМПЛЕКТ SAPPHIRE & DIAMOND,Sapphire & Diamond,36500,,Москва
No name,DIAMONDS HOOP EARRINGS,diamondhoop1311,14300,,Москва
David Morris,СЕРЬГИ С БРИЛЛИАНТАМИ И АГАТАМИ,DAVID MORRIS,23000,,Москва
Ювелирные украшения,БРОШЬ,4.93 BR,12000,,Москва
Tiffany & Co,FOREVER BANG RING (SIZE 48),0.27 CT,2500,,Москва
De Grisogono,BOULE EARRINGS,12117/10,4300,,Москва
Cartier,JUSTE UN CLOU RING (SIZE 55),B4210855,5350,,Москва
DeRosa,PEAR DIAMOND 1.52CT G/VVS2 (GIA),N4960981,11900,,Москва
DeRosa,HEART DIAMOND 1.00CT H/VVS2 PENDANT GIA,N280100,4500,,Москва
DeRosa,ROUND DIAMOND 3.06CT G-H/VS BRACELET,B7373064,6120,,Москва
Verdi Jewellery,БРАСЛЕТ С БРИЛЛИАНТАМИ 14.67 CT,A45L,47000,,Москва
DeRosa,С БРИЛЛИАНТОМ 5.01ct D/VS1,5.01,Цена по запросу,,Москва
No name,DIAMOND 2.06 CT J-grayish/VVS2 RING,NN2.06CTJ/VVS2,12150,,Москва
Bvlgari,B.zero1 Bague (SIZE 55),359721,5700,,Москва
Mercury,CLASSIC BRACELET 3.02CT G/VS,MB5830/WG/IRD0.05,6350,,Москва
No name,СЕРЬГИ С БРИЛЛИАНТАМИ 5.01-5.02 CT FLY/VS (GIA),5.01-5.02 CT FLY/VS (GIA),67000,,Москва
No name,PEAR AND ROUND DIAMOND EARRINGS 4.01-4.01 CT E-F/VS2 (GIA),4.01-4.01 CT E-F/VS2 (GIA),Цена по запросу,,Москва
No name,СЕРЬГИ ROUND DIAMOND 2.01-2.01 CT H/SI1 (GIA),2.01-2.01CT H/SI1,29300,,Москва
Cartier,JUSTE UN CLOU MODELLO GRANDE (SIZE 16),N6039316,48900,,Москва
Cartier,JUSTE UN CLOU MODELLO GRANDE (SIZE 18),N6039318,48900,,Москва
Graff,EMERALD CUT RING 1.50 CT D/VS1 (GIA),RGR1.50CTD/VS1 (GIA),22600,,Москва
Tiffany & Co,CUSHION DIAMOND EARRINGS 0.54-0.54 CT FY/VVS2-VS1,TTE0.54-0.54 CT FY/VVS2-VS1,17400,,Москва
Tiffany & Co,VICTORIA  EARRINGS LARGE,60133985,21800,,Москва
No name,SOLITARE 1895 RING 4.21 CT E/VVS1 (SIZE 50) GIA,Solitare1895,Цена по запросу,,Москва
Cartier,1895 SOLITARE RING 2.57 CT F/VVS2 (GIA) (SIZE 53),N4163600,42700,,Москва
Ювелирные украшения,ASPREY DIAMOND NECKLACE 50 CT,271124ASPREY50CT,85000,,Москва
No name,PEAR DIAMOND RING 5.05-5.07 CT D-E/IF (GIA),5.05-5.07 D-E/IF (GIA),Цена по запросу,,Москва
No name,ПОДВЕСКА CUSHION DIAMOND 3.02CT H/VVS2 GIA,3.02CT H/VVS2,38000,,Москва
Bvlgari,SERPENTI VIPER BRACELET (SIZE L),361223,31600,,Москва
Damiani,"WHITE GOLD DIAMOND HEART PENDANT, LARGE MODEL",DMN261224,4800,,Москва
Bvlgari,SERPENTI SNAKE NECKLACE,353037,Цена по запросу,,Москва
Cartier,PANTHÈRE DE CARTIER,N8515155,16900,,Москва
